Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 22_level_0,Playing Time,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Unnamed: 23_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Matches,MP,LgRank,MP,Matches,Matches
Oleksandr Zinchenko,Eerste Divisie (1 Season),Eerste Divisie (1 Season),Eerste Divisie (1 Season),,,7,7,609,6.8,0,4,4,0,0,0,0,0,,,,,,,,0.00,0.59,0.59,0.00,0.59,,,,,,,,,,,,
Oleksandr Zinchenko,Europa Lg (1 Season),Europa Lg (1 Season),Europa Lg (1 Season),,,3,2,204,2.3,0,0,0,0,0,0,1,0,0.1,0.1,0.9,1.0,2,14,6,0.00,0.00,0.00,0.00,0.00,0.05,0.47,0.52,0.05,0.52,,,,,,,
Oleksandr Zinchenko,Community Shield (1 Season),Community Shield (1 Season),Community Shield (1 Season),,,1,1,120,1.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
Brahim Diaz,2016-2017,16,Manchester City,eng ENG,EFL Cup,1,0,11,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Brahim Diaz,2017-2018,17,Manchester City,,1. Champions Lg,3,0,52,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,7,0,14,0.00,0.00,0.00,0.00,0.00,0.18,0.38,0.56,0.18,0.56,Matches,,,,,,
Brahim Diaz,2018-2019,18,Manchester City,,1. Champions Lg,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,
Brahim Diaz,2019-2020,19,Real Madrid,,1. Champions Lg,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,
Brahim Diaz,2020-2021,20,Milan,it ITA,Coppa Italia,2,2,164,1.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,,
Brahim Diaz,2021-2022,21,Milan,,1. Champions Lg,5,5,348,3.9,1,1,2,1,0,0,1,0,1.1,1.1,0.7,1.8,11,17,13,0.26,0.26,0.52,0.26,0.52,0.28,0.17,0.45,0.28,0.45,Matches,,,,,,
Brahim Diaz,2022-2023,22,Milan,,1. Champions Lg,10,8,602,6.7,1,0,1,1,0,0,1,0,1.6,1.6,0.6,2.1,16,17,33,0.15,0.00,0.15,0.15,0.15,0.23,0.09,0.32,0.23,0.32,Matches,,,,,,
Brahim Diaz,2023-2024,23,Real Madrid,,1. Champions Lg,9,3,323,3.6,2,1,3,2,0,0,0,0,1.5,1.5,1.7,3.2,17,18,29,0.56,0.28,0.84,0.56,0.84,0.47,0.52,0.99,0.47,0.99,Matches,,,,,,
Brahim Diaz,2024-2025,24,Real Madrid,,1. Champions Lg,3,2,218,2.4,0,1,1,0,0,0,0,0,0.8,0.8,0.9,1.7,9,11,9,0.00,0.41,0.41,0.00,0.41,0.34,0.36,0.71,0.34,0.71,Matches,,,,,,
