Player,Season,Age,Squad,Country,Comp,MP,Playing Time : Starts,Playing Time : Min,Playing Time : 90s,Performance : Gls,Performance : Ast,Performance : G+A,Performance : G-PK,Performance : PK,Performance : PKatt,Performance : CrdY,Performance : CrdR,Expected : xG,Expected : npxG,Expected : xAG,Expected : npxG+xAG,Progression : PrgC,Progression : PrgP,Progression : PrgR,Per 90 Minutes : Gls,Per 90 Minutes : Ast,Per 90 Minutes : G+A,Per 90 Minutes : G-PK,Per 90 Minutes : G+A-PK,Per 90 Minutes : xG,Per 90 Minutes : xAG,Per 90 Minutes : xG+xAG,Per 90 Minutes : npxG,Per 90 Minutes : npxG+xAG,Matches,LgRank,Playing Time : MP
Kylian Mbappe,2018-2019,19,Paris S-G,,1. Champions Lg,8,8,699,7.8,4,5,9,4,0,0,1,0,5.8,5.8,4.9,10.7,36,18,84,0.52,0.64,1.16,0.52,1.16,0.75,0.63,1.38,0.75,1.38,Matches,,
Kylian Mbappe,2019-2020,20,Paris S-G,,1. Champions Lg,10,6,654,7.3,5,5,10,5,0,0,1,0,8.2,8.2,4.4,12.6,44,23,86,0.69,0.69,1.38,0.69,1.38,1.13,0.61,1.73,1.13,1.73,Matches,,
Kylian Mbappe,2020-2021,21,Paris S-G,,1. Champions Lg,10,10,899,10.0,8,3,11,6,2,2,0,0,7.3,5.7,4.2,9.9,56,23,77,0.80,0.30,1.10,0.60,0.90,0.73,0.42,1.15,0.57,0.99,Matches,,
Kylian Mbappe,2021-2022,22,Paris S-G,,1. Champions Lg,8,8,671,7.5,6,4,10,6,0,1,1,0,5.0,4.2,1.7,5.9,53,22,73,0.80,0.54,1.34,0.80,1.34,0.67,0.22,0.89,0.57,0.79,Matches,,
Kylian Mbappe,2022-2023,23,Paris S-G,,1. Champions Lg,8,7,651,7.2,7,3,10,6,1,1,0,0,3.6,2.8,1.1,3.9,45,32,93,0.97,0.41,1.38,0.83,1.24,0.50,0.15,0.65,0.39,0.54,Matches,,
Kylian Mbappe,2023-2024,24,Paris S-G,,1. Champions Lg,12,12,1080,12.0,8,0,8,5,3,3,1,0,8.0,5.7,4.5,10.2,73,60,142,0.67,0.00,0.67,0.42,0.42,0.66,0.38,1.04,0.47,0.85,Matches,,
Kylian Mbappe,2024-2025,25,Real Madrid,,1. Champions Lg,6,5,428,4.8,2,1,3,2,0,1,0,0,4.4,3.6,0.5,4.2,27,13,45,0.42,0.21,0.63,0.42,0.63,0.93,0.11,1.04,0.76,0.88,Matches,,
Presnel Kimpembe,2014-2015,18,Paris S-G,,1. Champions Lg,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,
Presnel Kimpembe,2015-2016,19,Paris S-G,,1. Champions Lg,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,,
Presnel Kimpembe,2016-2017,20,Paris S-G,,1. Champions Lg,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches,,
Presnel Kimpembe,2017-2018,21,Paris S-G,,1. Champions Lg,3,2,198.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,Matches,,
Presnel Kimpembe,2018-2019,22,Paris S-G,,1. Champions Lg,8,7,648.0,7.2,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.1,0.7,5.0,22.0,3.0,0.14,0.0,0.14,0.14,0.14,0.09,0.01,0.1,0.09,0.1,Matches,,
