Unnamed: -1_level_0,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 34_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 35_level_0,Playing Time,Unnamed: 22_level_0
Player,Season,Age,Squad,Country,Comp,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,LgRank,MP,Matches,MP,Matches
Quentin Merlin,2022-2023,20,Nantes,fr FRA,Coupe de France,1,0,25,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Quentin Merlin,2023-2024,21,Nantes,fr FRA,Coupe de France,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Quentin Merlin,2024-2025,22,Marseille,fr FRA,1. Ligue 1,7,6,482,5.4,0,1,1,0,0,0,1,0,0.2,0.2,0.4,0.6,6,35,44,0.00,0.19,0.19,0.00,0.19,0.04,0.07,0.11,0.04,0.11,Matches,,,,,
Valentin Rongier,2020-2021,25,Marseille,,1. Champions Lg,6,5,441,4.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,11,21,9,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,,,,,
Valentin Rongier,2021-2022,26,Marseille,,3. Conf Lg,7,6,562,6.2,1,1,2,1,0,0,0,0,0.6,0.6,0.3,0.8,13,52,11,0.16,0.16,0.32,0.16,0.32,0.09,0.04,0.14,0.09,0.14,Matches,,,,,
Valentin Rongier,2022-2023,27,Marseille,,1. Champions Lg,6,5,471,5.2,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,10,45,9,0.00,0.00,0.00,0.00,0.00,0.08,0.02,0.09,0.08,0.09,Matches,,,,,
Valentin Rongier,2023-2024,28,Marseille,,2. Europa Lg,3,3,270,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,2,15,4,0.00,0.00,0.00,0.00,0.00,0.09,0.07,0.16,0.09,0.16,Matches,,,,,
Valentin Rongier,2024-2025,29,Marseille,fr FRA,1. Ligue 1,9,4,411,4.6,1,0,1,1,0,0,3,0,0.6,0.6,0.2,0.8,11,21,6,0.22,0.00,0.22,0.22,0.22,0.13,0.03,0.17,0.13,0.17,Matches,,,,,
Pol Lirola,2020-2021,22,Fiorentina,it ITA,Coppa Italia,1,0,41,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
Pol Lirola,2021-2022,23,Marseille,,3. Conf Lg,7,4,374,4.2,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,12,8,23,0.00,0.00,0.00,0.00,0.00,0.15,0.03,0.18,0.15,0.18,Matches,,,,,
Pol Lirola,2022-2023,24,Elche,es ESP,Copa del Rey,1,0,18,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches,,,,,
